,GEO.id,GEO.id2,GEO.display-label,niceName,totalPeople,commuttersTakingTransit,meanTravelTimeTransit,medianIncome
0,1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois","Census Tract 102.01, Cook County, Illinois",3016,983,48.9,31731.0
1,1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois","Census Tract 102.02, Cook County, Illinois",1203,511,,27036.0
2,1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois","Census Tract 103, Cook County, Illinois",3122,1205,50.6,34526.0
3,1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois","Census Tract 104, Cook County, Illinois",2566,1125,45.5,30142.0
4,1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois","Census Tract 105.01, Cook County, Illinois",2450,1207,,27371.0
5,1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois","Census Tract 105.02, Cook County, Illinois",1761,765,44.1,29846.0
6,1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois","Census Tract 105.03, Cook County, Illinois",961,443,,30777.0
7,1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois","Census Tract 106, Cook County, Illinois",4029,1784,,31023.0
8,1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois","Census Tract 107.01, Cook County, Illinois",2060,598,,31772.0
9,1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois","Census Tract 107.02, Cook County, Illinois",2939,1493,,24794.0
10,1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois","Census Tract 201, Cook County, Illinois",1718,294,,30458.0
11,1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois","Census Tract 202, Cook County, Illinois",2926,502,,42292.0
12,1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois","Census Tract 203.01, Cook County, Illinois",1880,224,,38534.0
13,1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois","Census Tract 203.02, Cook County, Illinois",2230,377,54.7,46961.0
14,1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois","Census Tract 204, Cook County, Illinois",2253,565,51.3,41486.0
15,1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois","Census Tract 205, Cook County, Illinois",2778,465,,30871.0
16,1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois","Census Tract 206.01, Cook County, Illinois",2469,475,,27638.0
17,1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois","Census Tract 206.02, Cook County, Illinois",1957,485,,26793.0
18,1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois","Census Tract 207.01, Cook County, Illinois",808,101,,39167.0
19,1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois","Census Tract 207.02, Cook County, Illinois",3681,276,,27461.0
20,1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois","Census Tract 208.01, Cook County, Illinois",2832,450,47.5,33162.0
21,1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois","Census Tract 208.02, Cook County, Illinois",3840,691,,26130.0
22,1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois","Census Tract 209.01, Cook County, Illinois",2826,810,,28258.0
23,1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois","Census Tract 209.02, Cook County, Illinois",1946,553,,28596.0
24,1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois","Census Tract 301.01, Cook County, Illinois",2085,857,46.8,29750.0
25,1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois","Census Tract 301.02, Cook County, Illinois",1753,882,,36119.0
26,1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois","Census Tract 301.03, Cook County, Illinois",1204,559,,39198.0
27,1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois","Census Tract 301.04, Cook County, Illinois",1525,781,,20424.0
28,1400000US17031030200,17031030200,"Census Tract 302, Cook County, Illinois","Census Tract 302, Cook County, Illinois",3137,1111,,41566.0
29,1400000US17031030300,17031030300,"Census Tract 303, Cook County, Illinois","Census Tract 303, Cook County, Illinois",1731,378,53.0,29112.0
30,1400000US17031030400,17031030400,"Census Tract 304, Cook County, Illinois","Census Tract 304, Cook County, Illinois",1558,424,45.9,40978.0
31,1400000US17031030500,17031030500,"Census Tract 305, Cook County, Illinois","Census Tract 305, Cook County, Illinois",4488,1777,,51543.0
32,1400000US17031030601,17031030601,"Census Tract 306.01, Cook County, Illinois","Census Tract 306.01, Cook County, Illinois",2114,1220,,31973.0
33,1400000US17031030603,17031030603,"Census Tract 306.03, Cook County, Illinois","Census Tract 306.03, Cook County, Illinois",1262,731,,32557.0
34,1400000US17031030604,17031030604,"Census Tract 306.04, Cook County, Illinois","Census Tract 306.04, Cook County, Illinois",1714,954,,35950.0
35,1400000US17031030701,17031030701,"Census Tract 307.01, Cook County, Illinois","Census Tract 307.01, Cook County, Illinois",932,601,,32813.0
36,1400000US17031030702,17031030702,"Census Tract 307.02, Cook County, Illinois","Census Tract 307.02, Cook County, Illinois",556,226,,73804.0
37,1400000US17031030703,17031030703,"Census Tract 307.03, Cook County, Illinois","Census Tract 307.03, Cook County, Illinois",1540,794,,42381.0
38,1400000US17031030706,17031030706,"Census Tract 307.06, Cook County, Illinois","Census Tract 307.06, Cook County, Illinois",2072,1000,,43387.0
39,1400000US17031030800,17031030800,"Census Tract 308, Cook County, Illinois","Census Tract 308, Cook County, Illinois",2380,724,,54619.0
40,1400000US17031030900,17031030900,"Census Tract 309, Cook County, Illinois","Census Tract 309, Cook County, Illinois",1985,677,,55516.0
41,1400000US17031031000,17031031000,"Census Tract 310, Cook County, Illinois","Census Tract 310, Cook County, Illinois",2759,1070,,50325.0
42,1400000US17031031100,17031031100,"Census Tract 311, Cook County, Illinois","Census Tract 311, Cook County, Illinois",3320,1324,,41609.0
43,1400000US17031031200,17031031200,"Census Tract 312, Cook County, Illinois","Census Tract 312, Cook County, Illinois",2783,1371,,34659.0
44,1400000US17031031300,17031031300,"Census Tract 313, Cook County, Illinois","Census Tract 313, Cook County, Illinois",4183,2016,44.7,40838.0
45,1400000US17031031400,17031031400,"Census Tract 314, Cook County, Illinois","Census Tract 314, Cook County, Illinois",3282,1356,,56975.0
46,1400000US17031031501,17031031501,"Census Tract 315.01, Cook County, Illinois","Census Tract 315.01, Cook County, Illinois",1738,782,,27207.0
47,1400000US17031031502,17031031502,"Census Tract 315.02, Cook County, Illinois","Census Tract 315.02, Cook County, Illinois",2373,1330,,22388.0
48,1400000US17031031700,17031031700,"Census Tract 317, Cook County, Illinois","Census Tract 317, Cook County, Illinois",4123,1859,,41181.0
49,1400000US17031031800,17031031800,"Census Tract 318, Cook County, Illinois","Census Tract 318, Cook County, Illinois",1267,668,,50128.0
50,1400000US17031031900,17031031900,"Census Tract 319, Cook County, Illinois","Census Tract 319, Cook County, Illinois",1607,795,43.3,40182.0
51,1400000US17031032100,17031032100,"Census Tract 321, Cook County, Illinois","Census Tract 321, Cook County, Illinois",4319,2009,,50057.0
52,1400000US17031040100,17031040100,"Census Tract 401, Cook County, Illinois","Census Tract 401, Cook County, Illinois",2142,495,50.4,52574.0
53,1400000US17031040201,17031040201,"Census Tract 402.01, Cook County, Illinois","Census Tract 402.01, Cook County, Illinois",4323,1537,47.7,42284.0
54,1400000US17031040202,17031040202,"Census Tract 402.02, Cook County, Illinois","Census Tract 402.02, Cook County, Illinois",3598,829,,32197.0
55,1400000US17031040300,17031040300,"Census Tract 403, Cook County, Illinois","Census Tract 403, Cook County, Illinois",1553,385,,50452.0
56,1400000US17031040401,17031040401,"Census Tract 404.01, Cook County, Illinois","Census Tract 404.01, Cook County, Illinois",1976,650,,53624.0
57,1400000US17031040402,17031040402,"Census Tract 404.02, Cook County, Illinois","Census Tract 404.02, Cook County, Illinois",3550,1768,40.3,59820.0
58,1400000US17031040600,17031040600,"Census Tract 406, Cook County, Illinois","Census Tract 406, Cook County, Illinois",1724,730,,50952.0
59,1400000US17031040700,17031040700,"Census Tract 407, Cook County, Illinois","Census Tract 407, Cook County, Illinois",2072,957,,52060.0
60,1400000US17031040800,17031040800,"Census Tract 408, Cook County, Illinois","Census Tract 408, Cook County, Illinois",1066,425,,51488.0
61,1400000US17031040900,17031040900,"Census Tract 409, Cook County, Illinois","Census Tract 409, Cook County, Illinois",1381,596,,50411.0
62,1400000US17031050100,17031050100,"Census Tract 501, Cook County, Illinois","Census Tract 501, Cook County, Illinois",1682,615,,54464.0
63,1400000US17031050200,17031050200,"Census Tract 502, Cook County, Illinois","Census Tract 502, Cook County, Illinois",2788,949,,69474.0
64,1400000US17031050300,17031050300,"Census Tract 503, Cook County, Illinois","Census Tract 503, Cook County, Illinois",1442,458,,62813.0
65,1400000US17031050500,17031050500,"Census Tract 505, Cook County, Illinois","Census Tract 505, Cook County, Illinois",3627,1311,,52841.0
66,1400000US17031050600,17031050600,"Census Tract 506, Cook County, Illinois","Census Tract 506, Cook County, Illinois",1653,657,,62057.0
67,1400000US17031050700,17031050700,"Census Tract 507, Cook County, Illinois","Census Tract 507, Cook County, Illinois",1084,457,,79896.0
68,1400000US17031050800,17031050800,"Census Tract 508, Cook County, Illinois","Census Tract 508, Cook County, Illinois",872,384,38.8,61795.0
69,1400000US17031050900,17031050900,"Census Tract 509, Cook County, Illinois","Census Tract 509, Cook County, Illinois",864,198,,52727.0
70,1400000US17031051000,17031051000,"Census Tract 510, Cook County, Illinois","Census Tract 510, Cook County, Illinois",1033,253,,67625.0
71,1400000US17031051100,17031051100,"Census Tract 511, Cook County, Illinois","Census Tract 511, Cook County, Illinois",1009,312,,62896.0
72,1400000US17031051200,17031051200,"Census Tract 512, Cook County, Illinois","Census Tract 512, Cook County, Illinois",992,441,39.2,64205.0
73,1400000US17031051300,17031051300,"Census Tract 513, Cook County, Illinois","Census Tract 513, Cook County, Illinois",1767,395,,77159.0
74,1400000US17031051400,17031051400,"Census Tract 514, Cook County, Illinois","Census Tract 514, Cook County, Illinois",1089,206,,65213.0
75,1400000US17031060100,17031060100,"Census Tract 601, Cook County, Illinois","Census Tract 601, Cook County, Illinois",1810,557,41.9,63731.0
76,1400000US17031060200,17031060200,"Census Tract 602, Cook County, Illinois","Census Tract 602, Cook County, Illinois",1566,747,,46071.0
77,1400000US17031060300,17031060300,"Census Tract 603, Cook County, Illinois","Census Tract 603, Cook County, Illinois",2288,856,,66184.0
78,1400000US17031060400,17031060400,"Census Tract 604, Cook County, Illinois","Census Tract 604, Cook County, Illinois",2711,1048,,60221.0
79,1400000US17031060500,17031060500,"Census Tract 605, Cook County, Illinois","Census Tract 605, Cook County, Illinois",755,304,,47337.0
80,1400000US17031060800,17031060800,"Census Tract 608, Cook County, Illinois","Census Tract 608, Cook County, Illinois",3515,1639,37.4,62353.0
81,1400000US17031060900,17031060900,"Census Tract 609, Cook County, Illinois","Census Tract 609, Cook County, Illinois",5388,2923,,51150.0
82,1400000US17031061000,17031061000,"Census Tract 610, Cook County, Illinois","Census Tract 610, Cook County, Illinois",1726,873,32.5,59886.0
83,1400000US17031061100,17031061100,"Census Tract 611, Cook County, Illinois","Census Tract 611, Cook County, Illinois",1135,648,,52932.0
84,1400000US17031061200,17031061200,"Census Tract 612, Cook County, Illinois","Census Tract 612, Cook County, Illinois",1380,809,,57606.0
85,1400000US17031061500,17031061500,"Census Tract 615, Cook County, Illinois","Census Tract 615, Cook County, Illinois",1467,649,36.3,59517.0
86,1400000US17031061800,17031061800,"Census Tract 618, Cook County, Illinois","Census Tract 618, Cook County, Illinois",916,513,,47321.0
87,1400000US17031061901,17031061901,"Census Tract 619.01, Cook County, Illinois","Census Tract 619.01, Cook County, Illinois",2499,1417,,52808.0
88,1400000US17031061902,17031061902,"Census Tract 619.02, Cook County, Illinois","Census Tract 619.02, Cook County, Illinois",2821,1420,,54223.0
89,1400000US17031062000,17031062000,"Census Tract 620, Cook County, Illinois","Census Tract 620, Cook County, Illinois",2373,1347,,51028.0
90,1400000US17031062100,17031062100,"Census Tract 621, Cook County, Illinois","Census Tract 621, Cook County, Illinois",2746,1699,,51667.0
91,1400000US17031062200,17031062200,"Census Tract 622, Cook County, Illinois","Census Tract 622, Cook County, Illinois",2201,937,32.4,61806.0
92,1400000US17031062300,17031062300,"Census Tract 623, Cook County, Illinois","Census Tract 623, Cook County, Illinois",1177,487,,67721.0
93,1400000US17031062400,17031062400,"Census Tract 624, Cook County, Illinois","Census Tract 624, Cook County, Illinois",954,478,,74667.0
94,1400000US17031062500,17031062500,"Census Tract 625, Cook County, Illinois","Census Tract 625, Cook County, Illinois",1172,608,,70500.0
95,1400000US17031062600,17031062600,"Census Tract 626, Cook County, Illinois","Census Tract 626, Cook County, Illinois",1398,396,39.8,77454.0
96,1400000US17031062700,17031062700,"Census Tract 627, Cook County, Illinois","Census Tract 627, Cook County, Illinois",1836,732,,60943.0
97,1400000US17031062800,17031062800,"Census Tract 628, Cook County, Illinois","Census Tract 628, Cook County, Illinois",2703,1150,,73674.0
98,1400000US17031062900,17031062900,"Census Tract 629, Cook County, Illinois","Census Tract 629, Cook County, Illinois",2917,1528,,68099.0
99,1400000US17031063000,17031063000,"Census Tract 630, Cook County, Illinois","Census Tract 630, Cook County, Illinois",2488,1326,,62393.0
100,1400000US17031063100,17031063100,"Census Tract 631, Cook County, Illinois","Census Tract 631, Cook County, Illinois",1794,1058,,62974.0
101,1400000US17031063200,17031063200,"Census Tract 632, Cook County, Illinois","Census Tract 632, Cook County, Illinois",4703,2558,,52521.0
102,1400000US17031063301,17031063301,"Census Tract 633.01, Cook County, Illinois","Census Tract 633.01, Cook County, Illinois",1729,1220,,55250.0
103,1400000US17031063302,17031063302,"Census Tract 633.02, Cook County, Illinois","Census Tract 633.02, Cook County, Illinois",3165,1876,,60038.0
104,1400000US17031063303,17031063303,"Census Tract 633.03, Cook County, Illinois","Census Tract 633.03, Cook County, Illinois",619,219,,70144.0
105,1400000US17031063400,17031063400,"Census Tract 634, Cook County, Illinois","Census Tract 634, Cook County, Illinois",1839,1010,,63042.0
106,1400000US17031070101,17031070101,"Census Tract 701.01, Cook County, Illinois","Census Tract 701.01, Cook County, Illinois",2279,1161,,61530.0
107,1400000US17031070102,17031070102,"Census Tract 701.02, Cook County, Illinois","Census Tract 701.02, Cook County, Illinois",2209,1128,,60857.0
108,1400000US17031070103,17031070103,"Census Tract 701.03, Cook County, Illinois","Census Tract 701.03, Cook County, Illinois",1267,575,,51433.0
109,1400000US17031070200,17031070200,"Census Tract 702, Cook County, Illinois","Census Tract 702, Cook County, Illinois",2974,1694,35.9,61250.0
110,1400000US17031070300,17031070300,"Census Tract 703, Cook County, Illinois","Census Tract 703, Cook County, Illinois",2621,1350,,67393.0
111,1400000US17031070400,17031070400,"Census Tract 704, Cook County, Illinois","Census Tract 704, Cook County, Illinois",2090,1070,,62319.0
112,1400000US17031070500,17031070500,"Census Tract 705, Cook County, Illinois","Census Tract 705, Cook County, Illinois",1896,734,33.4,83730.0
113,1400000US17031070600,17031070600,"Census Tract 706, Cook County, Illinois","Census Tract 706, Cook County, Illinois",2011,668,,82478.0
114,1400000US17031070700,17031070700,"Census Tract 707, Cook County, Illinois","Census Tract 707, Cook County, Illinois",2733,576,36.1,68835.0
115,1400000US17031071000,17031071000,"Census Tract 710, Cook County, Illinois","Census Tract 710, Cook County, Illinois",2231,952,,52346.0
116,1400000US17031071100,17031071100,"Census Tract 711, Cook County, Illinois","Census Tract 711, Cook County, Illinois",2091,1006,,51298.0
117,1400000US17031071200,17031071200,"Census Tract 712, Cook County, Illinois","Census Tract 712, Cook County, Illinois",1295,553,,68534.0
118,1400000US17031071300,17031071300,"Census Tract 713, Cook County, Illinois","Census Tract 713, Cook County, Illinois",2351,958,,68848.0
119,1400000US17031071400,17031071400,"Census Tract 714, Cook County, Illinois","Census Tract 714, Cook County, Illinois",3090,1231,32.2,62457.0
120,1400000US17031071500,17031071500,"Census Tract 715, Cook County, Illinois","Census Tract 715, Cook County, Illinois",4520,2115,,75589.0
121,1400000US17031071600,17031071600,"Census Tract 716, Cook County, Illinois","Census Tract 716, Cook County, Illinois",817,239,,77813.0
122,1400000US17031071700,17031071700,"Census Tract 717, Cook County, Illinois","Census Tract 717, Cook County, Illinois",1165,418,24.9,73917.0
123,1400000US17031071800,17031071800,"Census Tract 718, Cook County, Illinois","Census Tract 718, Cook County, Illinois",1525,474,,85021.0
124,1400000US17031080100,17031080100,"Census Tract 801, Cook County, Illinois","Census Tract 801, Cook County, Illinois",4290,1580,,78668.0
125,1400000US17031080201,17031080201,"Census Tract 802.01, Cook County, Illinois","Census Tract 802.01, Cook County, Illinois",2321,1014,30.6,72277.0
126,1400000US17031080202,17031080202,"Census Tract 802.02, Cook County, Illinois","Census Tract 802.02, Cook County, Illinois",2372,959,,71529.0
127,1400000US17031080300,17031080300,"Census Tract 803, Cook County, Illinois","Census Tract 803, Cook County, Illinois",3540,1366,,87191.0
128,1400000US17031080400,17031080400,"Census Tract 804, Cook County, Illinois","Census Tract 804, Cook County, Illinois",2023,823,,40955.0
129,1400000US17031081000,17031081000,"Census Tract 810, Cook County, Illinois","Census Tract 810, Cook County, Illinois",4615,1457,,49234.0
130,1400000US17031081100,17031081100,"Census Tract 811, Cook County, Illinois","Census Tract 811, Cook County, Illinois",2820,1238,,66902.0
131,1400000US17031081201,17031081201,"Census Tract 812.01, Cook County, Illinois","Census Tract 812.01, Cook County, Illinois",2720,1111,,72826.0
132,1400000US17031081202,17031081202,"Census Tract 812.02, Cook County, Illinois","Census Tract 812.02, Cook County, Illinois",1651,282,,70991.0
133,1400000US17031081300,17031081300,"Census Tract 813, Cook County, Illinois","Census Tract 813, Cook County, Illinois",2642,630,,72550.0
134,1400000US17031081401,17031081401,"Census Tract 814.01, Cook County, Illinois","Census Tract 814.01, Cook County, Illinois",1300,260,,73125.0
135,1400000US17031081402,17031081402,"Census Tract 814.02, Cook County, Illinois","Census Tract 814.02, Cook County, Illinois",2887,539,,93327.0
136,1400000US17031081403,17031081403,"Census Tract 814.03, Cook County, Illinois","Census Tract 814.03, Cook County, Illinois",5309,761,,87151.0
137,1400000US17031081500,17031081500,"Census Tract 815, Cook County, Illinois","Census Tract 815, Cook County, Illinois",3143,449,,78422.0
138,1400000US17031081600,17031081600,"Census Tract 816, Cook County, Illinois","Census Tract 816, Cook County, Illinois",2705,541,,88449.0
139,1400000US17031081700,17031081700,"Census Tract 817, Cook County, Illinois","Census Tract 817, Cook County, Illinois",2776,521,,78382.0
140,1400000US17031081800,17031081800,"Census Tract 818, Cook County, Illinois","Census Tract 818, Cook County, Illinois",7325,1035,,86855.0
141,1400000US17031081900,17031081900,"Census Tract 819, Cook County, Illinois","Census Tract 819, Cook County, Illinois",557,88,,79750.0
142,1400000US17031090100,17031090100,"Census Tract 901, Cook County, Illinois","Census Tract 901, Cook County, Illinois",1847,151,49.8,66005.0
143,1400000US17031090200,17031090200,"Census Tract 902, Cook County, Illinois","Census Tract 902, Cook County, Illinois",3803,512,,61360.0
144,1400000US17031090300,17031090300,"Census Tract 903, Cook County, Illinois","Census Tract 903, Cook County, Illinois",740,80,,60511.0
145,1400000US17031100100,17031100100,"Census Tract 1001, Cook County, Illinois","Census Tract 1001, Cook County, Illinois",2502,327,,50861.0
146,1400000US17031100200,17031100200,"Census Tract 1002, Cook County, Illinois","Census Tract 1002, Cook County, Illinois",3743,423,,44083.0
147,1400000US17031100300,17031100300,"Census Tract 1003, Cook County, Illinois","Census Tract 1003, Cook County, Illinois",2826,276,,50658.0
148,1400000US17031100400,17031100400,"Census Tract 1004, Cook County, Illinois","Census Tract 1004, Cook County, Illinois",1584,120,,54792.0
149,1400000US17031100500,17031100500,"Census Tract 1005, Cook County, Illinois","Census Tract 1005, Cook County, Illinois",2729,298,,59854.0
150,1400000US17031100600,17031100600,"Census Tract 1006, Cook County, Illinois","Census Tract 1006, Cook County, Illinois",2512,249,,46209.0
151,1400000US17031100700,17031100700,"Census Tract 1007, Cook County, Illinois","Census Tract 1007, Cook County, Illinois",2482,209,,49727.0
152,1400000US17031110100,17031110100,"Census Tract 1101, Cook County, Illinois","Census Tract 1101, Cook County, Illinois",2412,410,,50442.0
153,1400000US17031110200,17031110200,"Census Tract 1102, Cook County, Illinois","Census Tract 1102, Cook County, Illinois",1572,133,,48596.0
154,1400000US17031110300,17031110300,"Census Tract 1103, Cook County, Illinois","Census Tract 1103, Cook County, Illinois",2800,501,,47544.0
155,1400000US17031110400,17031110400,"Census Tract 1104, Cook County, Illinois","Census Tract 1104, Cook County, Illinois",2357,405,50.3,41056.0
156,1400000US17031110501,17031110501,"Census Tract 1105.01, Cook County, Illinois","Census Tract 1105.01, Cook County, Illinois",2771,694,,40814.0
157,1400000US17031110502,17031110502,"Census Tract 1105.02, Cook County, Illinois","Census Tract 1105.02, Cook County, Illinois",1783,607,,36603.0
158,1400000US17031120100,17031120100,"Census Tract 1201, Cook County, Illinois","Census Tract 1201, Cook County, Illinois",1824,359,,67895.0
159,1400000US17031120200,17031120200,"Census Tract 1202, Cook County, Illinois","Census Tract 1202, Cook County, Illinois",2255,226,,63558.0
160,1400000US17031120300,17031120300,"Census Tract 1203, Cook County, Illinois","Census Tract 1203, Cook County, Illinois",3244,217,,63194.0
161,1400000US17031120400,17031120400,"Census Tract 1204, Cook County, Illinois","Census Tract 1204, Cook County, Illinois",1765,447,,45516.0
162,1400000US17031130100,17031130100,"Census Tract 1301, Cook County, Illinois","Census Tract 1301, Cook County, Illinois",1761,260,,32835.0
163,1400000US17031130200,17031130200,"Census Tract 1302, Cook County, Illinois","Census Tract 1302, Cook County, Illinois",838,157,,51724.0
164,1400000US17031130300,17031130300,"Census Tract 1303, Cook County, Illinois","Census Tract 1303, Cook County, Illinois",2455,362,52.4,32231.0
165,1400000US17031140100,17031140100,"Census Tract 1401, Cook County, Illinois","Census Tract 1401, Cook County, Illinois",1684,744,,25811.0
166,1400000US17031140200,17031140200,"Census Tract 1402, Cook County, Illinois","Census Tract 1402, Cook County, Illinois",3271,1206,48.9,22349.0
167,1400000US17031140301,17031140301,"Census Tract 1403.01, Cook County, Illinois","Census Tract 1403.01, Cook County, Illinois",1286,553,45.4,21603.0
168,1400000US17031140302,17031140302,"Census Tract 1403.02, Cook County, Illinois","Census Tract 1403.02, Cook County, Illinois",1945,430,49.3,39004.0
169,1400000US17031140400,17031140400,"Census Tract 1404, Cook County, Illinois","Census Tract 1404, Cook County, Illinois",3462,738,54.1,37500.0
170,1400000US17031140500,17031140500,"Census Tract 1405, Cook County, Illinois","Census Tract 1405, Cook County, Illinois",1759,384,,32298.0
171,1400000US17031140601,17031140601,"Census Tract 1406.01, Cook County, Illinois","Census Tract 1406.01, Cook County, Illinois",1322,261,,25266.0
172,1400000US17031140602,17031140602,"Census Tract 1406.02, Cook County, Illinois","Census Tract 1406.02, Cook County, Illinois",2985,1004,,24558.0
173,1400000US17031140701,17031140701,"Census Tract 1407.01, Cook County, Illinois","Census Tract 1407.01, Cook County, Illinois",1545,621,41.0,29612.0
174,1400000US17031140702,17031140702,"Census Tract 1407.02, Cook County, Illinois","Census Tract 1407.02, Cook County, Illinois",3286,902,47.8,30053.0
175,1400000US17031140800,17031140800,"Census Tract 1408, Cook County, Illinois","Census Tract 1408, Cook County, Illinois",4089,1763,45.9,37054.0
176,1400000US17031150200,17031150200,"Census Tract 1502, Cook County, Illinois","Census Tract 1502, Cook County, Illinois",4370,947,,40178.0
177,1400000US17031150300,17031150300,"Census Tract 1503, Cook County, Illinois","Census Tract 1503, Cook County, Illinois",4196,830,,47588.0
178,1400000US17031150401,17031150401,"Census Tract 1504.01, Cook County, Illinois","Census Tract 1504.01, Cook County, Illinois",2514,396,52.4,40198.0
179,1400000US17031150402,17031150402,"Census Tract 1504.02, Cook County, Illinois","Census Tract 1504.02, Cook County, Illinois",2124,371,,33975.0
180,1400000US17031150501,17031150501,"Census Tract 1505.01, Cook County, Illinois","Census Tract 1505.01, Cook County, Illinois",2066,402,,39769.0
181,1400000US17031150502,17031150502,"Census Tract 1505.02, Cook County, Illinois","Census Tract 1505.02, Cook County, Illinois",1815,188,,41022.0
182,1400000US17031150600,17031150600,"Census Tract 1506, Cook County, Illinois","Census Tract 1506, Cook County, Illinois",2072,353,,34423.0
183,1400000US17031150700,17031150700,"Census Tract 1507, Cook County, Illinois","Census Tract 1507, Cook County, Illinois",2182,405,50.5,40065.0
184,1400000US17031150800,17031150800,"Census Tract 1508, Cook County, Illinois","Census Tract 1508, Cook County, Illinois",2852,628,,31417.0
185,1400000US17031151001,17031151001,"Census Tract 1510.01, Cook County, Illinois","Census Tract 1510.01, Cook County, Illinois",1220,157,,31806.0
186,1400000US17031151002,17031151002,"Census Tract 1510.02, Cook County, Illinois","Census Tract 1510.02, Cook County, Illinois",2278,425,,30533.0
187,1400000US17031151100,17031151100,"Census Tract 1511, Cook County, Illinois","Census Tract 1511, Cook County, Illinois",2899,573,,29649.0
188,1400000US17031151200,17031151200,"Census Tract 1512, Cook County, Illinois","Census Tract 1512, Cook County, Illinois",1897,214,,34065.0
189,1400000US17031160100,17031160100,"Census Tract 1601, Cook County, Illinois","Census Tract 1601, Cook County, Illinois",1261,321,,42868.0
190,1400000US17031160200,17031160200,"Census Tract 1602, Cook County, Illinois","Census Tract 1602, Cook County, Illinois",1667,385,,44240.0
191,1400000US17031160300,17031160300,"Census Tract 1603, Cook County, Illinois","Census Tract 1603, Cook County, Illinois",2233,887,,42106.0
192,1400000US17031160400,17031160400,"Census Tract 1604, Cook County, Illinois","Census Tract 1604, Cook County, Illinois",2397,533,,33130.0
193,1400000US17031160501,17031160501,"Census Tract 1605.01, Cook County, Illinois","Census Tract 1605.01, Cook County, Illinois",2094,795,,27487.0
194,1400000US17031160502,17031160502,"Census Tract 1605.02, Cook County, Illinois","Census Tract 1605.02, Cook County, Illinois",1962,445,,34762.0
195,1400000US17031160601,17031160601,"Census Tract 1606.01, Cook County, Illinois","Census Tract 1606.01, Cook County, Illinois",2117,606,,35154.0
196,1400000US17031160602,17031160602,"Census Tract 1606.02, Cook County, Illinois","Census Tract 1606.02, Cook County, Illinois",2084,539,,33281.0
197,1400000US17031160700,17031160700,"Census Tract 1607, Cook County, Illinois","Census Tract 1607, Cook County, Illinois",3396,927,,36687.0
198,1400000US17031160800,17031160800,"Census Tract 1608, Cook County, Illinois","Census Tract 1608, Cook County, Illinois",2951,811,,31605.0
199,1400000US17031160900,17031160900,"Census Tract 1609, Cook County, Illinois","Census Tract 1609, Cook County, Illinois",1459,421,46.3,51795.0
200,1400000US17031161000,17031161000,"Census Tract 1610, Cook County, Illinois","Census Tract 1610, Cook County, Illinois",1131,307,,42297.0
201,1400000US17031161100,17031161100,"Census Tract 1611, Cook County, Illinois","Census Tract 1611, Cook County, Illinois",970,252,41.9,66625.0
202,1400000US17031161200,17031161200,"Census Tract 1612, Cook County, Illinois","Census Tract 1612, Cook County, Illinois",1524,403,43.1,34947.0
203,1400000US17031161300,17031161300,"Census Tract 1613, Cook County, Illinois","Census Tract 1613, Cook County, Illinois",1833,462,46.9,32346.0
204,1400000US17031170100,17031170100,"Census Tract 1701, Cook County, Illinois","Census Tract 1701, Cook County, Illinois",648,76,,42115.0
205,1400000US17031170200,17031170200,"Census Tract 1702, Cook County, Illinois","Census Tract 1702, Cook County, Illinois",2069,182,,35509.0
206,1400000US17031170300,17031170300,"Census Tract 1703, Cook County, Illinois","Census Tract 1703, Cook County, Illinois",2810,183,,34667.0
207,1400000US17031170400,17031170400,"Census Tract 1704, Cook County, Illinois","Census Tract 1704, Cook County, Illinois",1842,160,,37838.0
